idx,question,gold,level,type,v_answer,v_f1,v_em,t_answer,t_f1,t_em,alpha,beta,gamma
15,The eighth-longest rollercoaster in the world is located in what theme park?,Disney California Adventure,hard,bridge,The information is not available.,0.0,0.0,"The eighth-longest rollercoaster in the world, California Screamin', is located in Paradise Pier.",0.14285714285714288,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
16,The city that hosted the Olympics where Taiwan competed as Chinese Taipei is situated at the confluence of what two rivers?,Bow River and the Elbow River,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
17,Who is an Australian philosopher that inspired Living High and Letting Die?,Peter Singer,hard,bridge,"Peter Singer is the Australian philosopher who inspired ""Living High and Letting Die.""",0.2857142857142857,0.0,Peter Singer,1.0,1.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
18,The musical composer of Manru was a spokesman for what country's independence?,Polish independence,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
19,Carrie Coon plays Margo Dunne in a 2014 film set in what state?,Missouri,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
20,UFO Magazine covers what subject named for Charles Hoy Fort?,Fortean,hard,bridge,UFO Magazine covers Fortean subjects.,0.33333333333333337,0.0,UFO Magazine covers Fortean subjects.,0.33333333333333337,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
21,"Between two scientists Ernst Messerschmid and Philippe Perrin, who is older?",Ernst Willi Messerschmid,hard,comparison,Ernst Messerschmid is older.,0.5714285714285715,0.0,Ernst Messerschmid is older.,0.5714285714285715,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
22,What kind of energy does a plasma weapon produce?,electromagnetic field,hard,bridge,"A plasma weapon primarily produces thermal energy, causing serious burns and often immediate death, along with potential kinetic energy from the projected ionized material.",0.0,0.0,"A plasma weapon primarily produces thermal energy, causing serious burns and potential immediate death, along with a significant kinetic energy component in some cases.",0.0,0.0,0.6,0.2,0.2
23,New York State Route 9R rejoins its parent in a hamlet located  in what New York County?,Albany,hard,bridge,Albany County.,0.6666666666666666,0.0,Albany County,0.6666666666666666,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
24,What is 3/4 of the budget of the agency who  placed ECT machines  in the Class III category coming from?,pharmaceutical companies,hard,bridge,"3/4 of the budget of the FDA, the agency that placed ECT machines in the Class III category, is coming from pharmaceutical companies.",0.1904761904761905,0.0,3/4 of the budget of the FDA is funded by pharmaceutical companies.,0.33333333333333337,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
25,In Ancient Egyptian religion how would a citizen be weighted to decide if they where worthy of damnation and would face the torment in the lake of fire ?,against the feather of truth,hard,bridge,A citizen's heart would be weighed against the feather of truth to decide if they were worthy of damnation and would face torment in the lake of fire.,0.2758620689655173,0.0,"In Ancient Egyptian religion, a citizen's heart would be weighed against the feather of truth to decide if they were worthy of damnation and would face torment in the lake of fire.",0.2424242424242424,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
26,"The Prodigal Daughter, though a book about an American, is by a novelist of what nationality?",English,hard,bridge,"The novelist of The Prodigal Daughter, Jeffrey Archer, is British.",0.0,0.0,British,0.0,0.0,0.6,0.2,0.2
27,"Which dog is believed to dispel ghosts and evil spirits, Segugio Italiano or Sapsali?",Sapsali,hard,comparison,Sapsali,1.0,1.0,Sapsali,1.0,1.0,0.169811320754717,0.18867924528301888,0.641509433962264
28,What kind of novelists were both Robert Stone and Truman Capote?,American,hard,comparison,Both Robert Stone and Truman Capote were American novelists.,0.19999999999999998,0.0,Both Robert Stone and Truman Capote were American novelists.,0.19999999999999998,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
29,How many girls and boys are in the seventeen sibling family featured on Counting On?,nine girls and 10 boys,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
30,"What musical duo used samples from the first presenter of ""Tomorrow's World"" in their album Lost and Safe?",American musical duo The Books,hard,bridge,"The musical duo that used samples from the first presenter of ""Tomorrow's World"" in their album Lost and Safe is The Books.",0.2608695652173913,0.0,"The musical duo that used samples from Raymond Baxter in their album ""Lost and Safe"" is The Books.",0.3,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
31,What 2015 British-Canadian-Irish romantic drama was Finola Dwyer a producer of?,Brooklyn,hard,bridge,Brooklyn,1.0,1.0,Brooklyn,1.0,1.0,0.6,0.2,0.2
32,Which conflict involving the Mende ethnic group lasted for eleven years?,Sierra Leone Civil War,hard,bridge,The Sierra Leone Civil War lasted for eleven years and involved the Mende ethnic group.,0.47058823529411764,0.0,The Sierra Leone Civil War lasted for eleven years and involved the Mende ethnic group through the Civil Defense Forces (CDF).,0.3636363636363636,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
33,"Which genus's family comes first alphabetically, Crepis or Isatis?",Crepis,hard,comparison,"Isatis's family, Brassicaceae, comes first alphabetically.",0.0,0.0,"Isatis's family, Brassicaceae, comes first alphabetically.",0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
34,"Who was born first, Krzysztof Zanussi or Thom Andersen?",Krzysztof Zanussi,hard,comparison,"Krzysztof Zanussi was born first, on 17 June 1939, while Thom Andersen was born in 1943.",0.2222222222222222,0.0,Krzysztof Zanussi was born first.,0.5714285714285715,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
35,Josh Trank and Mike Valerio both work in what industry?,entertainment,hard,comparison,Both Josh Trank and Mike Valerio work in the entertainment industry.,0.18181818181818182,0.0,The entertainment industry.,0.6666666666666666,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
36,Which actor from the South Korean-Thai drama film Final Recipe debuted as a member of Super Junior-M in 2008?,Henry Lau,hard,bridge,The information is not available.,0.0,0.0,Henry Lau debuted as a member of Super Junior-M in 2008.,0.33333333333333337,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
37,"Which son of Robin Fox MC, is an English theater and film producer",Robert Michael John Fox,hard,bridge,Robert Fox is the son of Robin Fox MC who is an English theater and film producer.,0.2105263157894737,0.0,Robert Fox is the son of Robin Fox MC who is an English theater and film producer.,0.2105263157894737,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
38,Gül Train is a project of which Eurasian political and economic intergovernmental organization?,Economic Cooperation Organisation,hard,bridge,Gül Train is a project of the Economic Cooperation Organization (ECO).,0.3333333333333333,0.0,Gül Train is a project of the Economic Cooperation Organization.,0.36363636363636365,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
39,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, that was founded in 1899, and is under the auspices of what religion?",evangelical Christian,hard,bridge,The university is under the auspices of evangelical Christianity.,0.22222222222222224,0.0,The university is under the auspices of evangelical Christianity.,0.22222222222222224,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
40,In what year was the most famous statute at Po Lin Monastery built?,Tian Tan Buddha,hard,bridge,"The most famous statue at Po Lin Monastery, the Tian Tan Buddha, was completed in 1993.",0.35294117647058826,0.0,"The most famous statue at Po Lin Monastery, the Tian Tan Buddha, was completed in 1993.",0.35294117647058826,0.0,0.6,0.2,0.2
41,"What mine was operated by Royal Oak Mines at at earlier date, Kemess Mine or Colomac Mine?",The Colomac Mine,hard,comparison,Colomac Mine was operated by Royal Oak Mines at an earlier date.,0.3076923076923077,0.0,Colomac Mine.,1.0,1.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
42,"When was the Indian film actor, producer and playback singer born who debut with the 2000 War film, ""Refugee"" and had lead role in Main Prem Ki Diwani Hoon?",5 February 1976,hard,bridge,Abhishek Bachchan was born on 5 February 1976.,0.5454545454545454,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
43,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,hard,bridge,"John André was hanged for assisting the attempted surrender of Benedict Arnold, a defector from the American Continental Army to the British Army.",0.1904761904761905,0.0,"John André was hanged for assisting the attempted surrender of Benedict Arnold, a defector from the American Continental Army to the British Army.",0.1904761904761905,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
44,Henderson Executive Airport got its name in 1996 when it was purchased by Clark County to be used as a reliever airport for an airport named after what politican?,U.S. Senator Pat McCarran,hard,bridge,"McCarran International Airport, named after U.S. Senator Pat McCarran.",0.6153846153846153,0.0,"Henderson Executive Airport got its name in 1996 when it was purchased by Clark County to be used as a reliever airport for McCarran International Airport, which is named after U.S. Senator Pat McCarran.",0.21621621621621626,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
45,"The album ""The Best of LeAnn Rimes"" contained a song used as the theme song for a film. What is the name of the film?",Coyote Ugly,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
46,What was the capital of India when the Taj Mahal was commissioned?,Agra,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
47,"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores,hard,bridge,"In the 1970s, the Army and Navy Stores group was acquired by House of Fraser.",0.375,0.0,House of Fraser acquired the Army & Navy Stores group in the 1970s.,0.4615384615384615,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
48,"Mooreville, Mississippi is located on which Interstate highway that follows US Route 78?",Interstate 22,hard,bridge,"Mooreville, Mississippi is located on Interstate 22 (I-22).",0.4,0.0,"Mooreville, Mississippi is located on Interstate 22 (I-22).",0.4,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
49,"Which hospital, the Psychiatric Institute of Washington or Howard University Hospital, is known for serving the African American community including former slaves?",Howard University Hospital,hard,comparison,"Howard University Hospital is known for serving the African American community, including former slaves.",0.375,0.0,"Howard University Hospital is known for serving the African American community, including former slaves.",0.375,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
50,What company did Rex Maughan aquire?,Aloe Vera of America,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
51,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,hard,bridge,Carl von Clausewitz is associated with Classical Realism.,0.7777777777777777,0.0,Classical realism.,0.33333333333333337,0.0,0.6,0.2,0.2
52,"In what year was the company founded whose Manhattan branch was the site for the recording of the live album, Park Avenue South, by Dave Brubeck and his quartet? ",1971,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
53,Alexander Petrovich Nikolayev received the title Hero of the Soviet Union and the Order of Lenin for his actions during the   the final major offensive of the European theatre of what war?,World War II,hard,bridge,World War II.,1.0,1.0,World War II.,1.0,1.0,0.169811320754717,0.18867924528301888,0.641509433962264
54,In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?,1945,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
55,Which comic series involves characters such as Nick Fury and Baron von Strucker?,Marvel,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
56,The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?,extensive use of segues,hard,bridge,The On Tour Forever album gave Blues Traveler the opportunity to display their trademark jam band sound.,0.0,0.0,The On Tour Forever album gave Blues Traveler the opportunity to display their extensive use of segues in live performances.,0.3636363636363636,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
57,What genre is the novel from which the fast-food restaurant specializing in seafood derives its name?,an adventure novel,hard,bridge,The genre of the novel from which the fast-food restaurant derives its name is adventure fiction.,0.2666666666666667,0.0,The genre of the novel from which the fast-food restaurant derives its name is adventure.,0.2857142857142857,0.0,0.6,0.2,0.2
58,What is the capacity of the stadium that is the home ground of the Lahore Eagles?,"27,000",hard,bridge,"The capacity of Gaddafi Stadium, the home ground of the Lahore Eagles, is 27,000 spectators.",0.15384615384615385,0.0,"The capacity of Gaddafi Stadium, the home ground of the Lahore Eagles, is 27,000 spectators.",0.15384615384615385,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
59,Heinrich Gross participated in the Nazi regime's Aktion T4 more commonly referred to as what?,Euthanasia Program,hard,bridge,"Heinrich Gross participated in the Nazi regime's Aktion T4, more commonly referred to as involuntary euthanasia.",0.11764705882352941,0.0,"Heinrich Gross participated in the Nazi regime's Aktion T4, more commonly referred to as involuntary euthanasia.",0.11764705882352941,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
60,Are Denzel Washington and David Hewlett both actors?,yes,hard,comparison,The information is not available.,0.0,0.0,Yes.,1.0,1.0,0.169811320754717,0.18867924528301888,0.641509433962264
61,Are both The Straight Story and Frozen films of the same genre?,no,hard,comparison,"No, The Straight Story is a biographical road drama, while Frozen is a musical fantasy film.",0.14285714285714288,0.0,"No, The Straight Story is a biographical road drama film, while Frozen is a musical fantasy film.",0.13333333333333333,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
62,St Dionis Backchurch was rebuilt after a major conflagration that consumed how many parish churches?,87,hard,bridge,"St Dionis Backchurch was rebuilt after the Great Fire of London, which burned eighty-eight parish churches.",0.0,0.0,Eighty-eight parish churches were burned during the Great Fire of London.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
63,Who conducted the negotiations  with the owners and the longest serving commandant of Auschwitz concentration and extermination camp?,Rudolf Höss,hard,bridge,"Kurt Gerstein conducted the negotiations with the owners, and Rudolf Höss was the longest-serving commandant of Auschwitz concentration and extermination camp.",0.19999999999999998,0.0,Kurt Gerstein conducted the negotiations with the owners and Rudolf Höss was the longest-serving commandant of Auschwitz concentration and extermination camp.,0.19999999999999998,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
64,Were Halldór Laxness and Timothy Leary from the same country?,no,hard,comparison,"No, Halldór Laxness was from Iceland, while Timothy Leary was from the United States.",0.14285714285714288,0.0,No.,1.0,1.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
65,"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire,hard,bridge,The Sasanian Empire succeeded the Parthian Empire.,0.5714285714285715,0.0,The Sasanian Empire succeeded the Parthian Empire.,0.5714285714285715,0.0,0.6,0.2,0.2
66,What kind of musicians are Mark Gaudet and Jan Axel Blomberg?,drummer,hard,bridge,Both Mark Gaudet and Jan Axel Blomberg are musicians known for their work in the heavy metal and black metal genres.,0.0,0.0,Both Mark Gaudet and Jan Axel Blomberg are musicians known for their work in the heavy metal and black metal genres.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
67,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what? ,Albanian political party in Montenegro,hard,bridge,"The Albanian Coalition ""Perspective"" is an Albanian political party in Montenegro.",0.7142857142857143,0.0,"The Albanian Coalition ""Perspective"" is an Albanian political party in Montenegro.",0.7142857142857143,0.0,0.6,0.2,0.2
68,what 6-story building was listed on the National Register of Historic Places in 1980?,Worcester Cold Storage and Warehouse Co. fire,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
69,Where did Otto von Bismarck and Ludwig Friedrich Leopold von Gerlach originate? ,Prussia,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
70,Where did Cale Gundy's brother play football in college?,Oklahoma State University,hard,bridge,"Cale Gundy's brother, Mike Gundy, played football at Oklahoma State University.",0.42857142857142855,0.0,"Cale Gundy's brother, Mike Gundy, played college football at Oklahoma State University.",0.4,0.0,0.6,0.2,0.2
71," The Nike Hoop Summit has had many current NBA players as former participants, including what German player from the Dallas Mavericks?",Dirk Werner Nowitzki,hard,bridge,Dirk Nowitzki,0.8,0.0,Dirk Nowitzki,0.8,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
72,Are both Cypress and Ajuga genera?,no,hard,comparison,"Yes, both Cypress (Cupressus) and Ajuga are genera.",0.0,0.0,"No, only Ajuga is a genus; Cypress is not mentioned as a genus in the context.",0.14285714285714288,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
73,How far from Sacramento is the flight school in Atwater?,about 115 miles (185 km),hard,bridge,"The flight school in Atwater is about 115 miles (185 km) south of Sacramento, California.",0.5263157894736842,0.0,"The flight school in Atwater is about 115 miles (185 km) south of Sacramento, California.",0.5263157894736842,0.0,0.6,0.2,0.2
74,"What is the name of the range of characteristics pertaining to, and differentiating between, masculinity and femininity which Mary Karooro Okurut was appointed to in 2012 as Minister of?",Gender and Social Issues,hard,bridge,Mary Karooro Okurut was appointed in 2012 as Minister of Gender and Social Issues.,0.4444444444444445,0.0,"The name of the range of characteristics is ""Gender.""",0.18181818181818182,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
75,"Which writer of ""Rewrite This Story"" are an American songwriting duo and composing team for musical theater, films, and television?",Pasek and Paul,hard,bridge,"Pasek and Paul are the American songwriting duo and composing team for musical theater, films, and television who wrote ""Rewrite This Story.""",0.25,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
76," ""JK Wedding Entrance Dance"" is a viral video that uses a song by a rapper whose first album was certified what?",double platinum,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
77,Edoardo Soleri is playing on loan from which Italian football club?,A.S. Roma,hard,bridge,Edoardo Soleri is playing on loan from A.S. Roma.,0.3636363636363636,0.0,Edoardo Soleri is playing on loan from A.S. Roma.,0.3636363636363636,0.0,0.6,0.2,0.2
78,"What was the island, on which Marinelli Glacier is located, formerly known as?",Isla de Xativa,hard,bridge,"The island on which Marinelli Glacier is located was formerly known as ""Isla de Xativa.""",0.35294117647058826,0.0,"The island, on which Marinelli Glacier is located, was formerly known as ""Isla de Xativa.""",0.35294117647058826,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
79,What actor from the show Murphy Brown also had a role in a show with fellow actor Steve Howey? ,Christopher Rich,hard,bridge,The information is not available.,0.0,0.0,"The actor from ""Murphy Brown"" who also had a role in a show with Steve Howey is Christopher Rich.",0.2222222222222222,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
80,"Susanna Thompson appeared in the courtroom drama film Ghosts of Mississippi, directed by who?",Rob Reiner,hard,bridge,"Susanna Thompson appeared in the courtroom drama film Ghosts of Mississippi, which was directed by Rob Reiner.",0.2222222222222222,0.0,Rob Reiner.,1.0,1.0,0.6,0.2,0.2
81,Which member of The New Russian School was both a doctor and a chemist besides being a composer?,Alexander Porfiryevich Borodin,hard,bridge,Alexander Borodin,0.8,0.0,Alexander Borodin.,0.8,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
82,"Are Ruggero Deodato from Italy, and Mexican Alejandro Springall, both film directors?",yes,hard,comparison,"Yes, both Ruggero Deodato from Italy and Alejandro Springall from Mexico are film directors.",0.13333333333333333,0.0,Yes.,1.0,1.0,0.169811320754717,0.18867924528301888,0.641509433962264
83,The Airport located next to the A13 handled how many passengers in 2016 ?,1.6 million passengers,hard,bridge,"The Rotterdam The Hague Airport, located next to the A13, handled over 1.6 million passengers in 2016.",0.35294117647058826,0.0,The Rotterdam The Hague Airport handled over 1.6 million passengers in 2016.,0.4615384615384615,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
84,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,hard,bridge,"Ken Pruitt was a Republican member of the Florida Senate, which is an upper house. The information about the number of members in the Florida Senate is not available in the context provided.",0.07142857142857144,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
85,"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?","Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,",hard,bridge,C. J. Cherryh,0.33333333333333337,0.0,C. J. Cherryh,0.33333333333333337,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
86,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,hard,bridge,Both the Hawker Hurricane and No. 1455 Flight were part of the Royal Air Force (RAF) during World War II.,0.2857142857142857,0.0,Both the Hawker Hurricane and No. 1455 Flight RAF were part of the Royal Air Force (RAF) during World War II.,0.2727272727272727,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
87,"Which aired first, Life After People or Werner Herzog Eats His Shoe?",Werner Herzog Eats His Shoe,hard,comparison,"Werner Herzog Eats His Shoe aired first in 1980, while Life After People premiered in 2009.",0.47619047619047616,0.0,"Werner Herzog Eats His Shoe aired first in 1980, before Life After People, which premiered on April 21, 2009.",0.4166666666666667,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
88,"Ithihasa and the Indian music composer of  ""Chronic Bachelor"", ""Udayananu Tharam"", ""Naran"", ""Puthiya Mukham,"" ""Urumi"", ""Grandmaster"" and ""Bhaskar the Rascal"" are known in what type of films/cinema?",Malayalam,hard,bridge,Ithihasa and the Indian music composer Deepak Dev are known in Malayalam cinema.,0.15384615384615385,0.0,Ithihasa and the Indian music composer of the mentioned films are known in Malayalam cinema.,0.14285714285714288,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
89,Who covered the song I Love You by Chris Write?,People! and The Carnabeats,hard,bridge,"The song ""I Love You"" by Chris White was covered by People! and The Carnabeats, among several other artists.",0.3,0.0,"The song ""I Love You"" by Chris White was covered by People! and The Carnabeats, among several other artists.",0.3,0.0,0.6,0.2,0.2
90,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
91,"Which year was the more recent engine series, the Honda K or Honda H, introduced?",2001,hard,bridge,"The Honda K series engine was introduced in 2001, while the Honda H engine was introduced in the 1990s. Therefore, the more recent engine series is the Honda K.",0.07999999999999999,0.0,"The Honda K series engine was introduced in 2001, while the Honda H engine was from the 1990s and early 2000s. Therefore, the more recent engine series is the Honda K.",0.07407407407407407,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
92,"The 249th episode of ""The Simpsons"" was aired on what date?","November 1, 2000",hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
93,Which town was home to a forward for the Western New York Flash? ,Oyster Bay,hard,bridge,The information is not available.,0.0,0.0,"Massapequa, New York.",0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
94,"Where is the county seat for people living in Henderson Point, Mississippi?","Gulfport, Biloxi",hard,bridge,"The county seat for people living in Henderson Point, Mississippi, is Gulfport.",0.15384615384615385,0.0,"The county seat for people living in Henderson Point, Mississippi, is Gulfport.",0.15384615384615385,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
95,Triangle Brewing Company was started by a founder who had experience as what non-commercial alcohol producer?,homebrewer,hard,bridge,Rick Tufts had experience as an avid homebrewer.,0.25,0.0,Homebrewer.,1.0,1.0,0.6,0.2,0.2
96,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",Pasek & Paul,hard,bridge,"Pasek & Paul composed music for ""La La Land"" and created lyrics for ""A Christmas Story: The Musical"".",0.23529411764705882,0.0,Pasek and Paul.,0.8,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
